51,54,B,2754,2754,всего,сумм а,ост,сумм в,ост,52,65,A,3380
52,45,B,2340,5094,4000000,2870309,1129691,1129132,559,58,70,A,4060
52,17,B,884,5978,,,,,,59,32,A,1888
56,63,B,3528,9506,,Кол-во,ост,,,59,53,A,3127
57,44,B,2508,12014,,5895,227,,,60,14,A,840
58,55,B,3190,15204,,,,,,62,45,A,2790
59,53,B,3127,18331,,,,,,63,16,A,1008
59,32,B,1888,20219,,,,,,66,16,A,1056
62,29,B,1798,22017,,,,,,69,64,A,4416
64,15,B,960,22977,,,,,,71,28,A,1988
66,35,B,2310,25287,,,,,,71,63,A,4473
66,17,B,1122,26409,,,,,,72,59,A,4248
72,28,B,2016,28425,,,,,,75,23,A,1725
72,17,B,1224,29649,,,,,,80,57,A,4560
73,26,B,1898,31547,,,,,,81,56,A,4536
76,58,B,4408,35955,,,,,,83,64,A,5312
76,32,B,2432,38387,,,,,,83,50,A,4150
76,28,B,2128,40515,,,,,,85,48,A,4080
76,59,B,4484,44999,,,,,,86,26,A,2236
78,18,B,1404,46403,,,,,,88,30,A,2640
78,53,B,4134,50537,,,,,,90,57,A,5130
78,46,B,3588,54125,,,,,,91,17,A,1547
80,23,B,1840,55965,,,,,,96,27,A,2592
82,57,B,4674,60639,,,,,,96,14,A,1344
84,42,B,3528,64167,,,,,,97,24,A,2328
85,31,B,2635,66802,,,,,,99,13,A,1287
91,39,B,3549,70351,,,,,,103,38,A,3914
91,61,B,5551,75902,,,,,,103,65,A,6695
92,26,B,2392,78294,,,,,,104,41,A,4264
94,57,B,5358,83652,,,,,,105,33,A,3465
96,57,B,5472,89124,,,,,,106,57,A,6042
98,42,B,4116,93240,,,,,,108,16,A,1728
98,53,B,5194,98434,,,,,,110,35,A,3850
99,62,B,6138,104572,,,,,,110,62,A,6820
100,34,B,3400,107972,,,,,,111,46,A,5106
101,17,B,1717,109689,,,,,,111,45,A,4995
104,11,B,1144,110833,,,,,,112,57,A,6384
106,13,B,1378,112211,,,,,,119,52,A,6188
106,68,B,7208,119419,,,,,,125,56,A,7000
